gene	SRR5575407	SRR5575408	SRR5575409	SRR5575410	SRR5575413	SRR5575598	SRR5575599	SRR5575605	SRR5575606	SRR7716235	SRR7716244	SRR7716245	SRR7716246	SRR7716247
SRR5575407_k141_107178_15	296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
SRR5575407_k141_107178_16	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107178_2	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SRR5575407_k141_107178_3	219.0	0.0	8.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	7.0	0.0
SRR5575407_k141_107178_4	320.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107178_5	492.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	5.0	0.0
SRR5575407_k141_107178_6	405.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	9.0	0.0
SRR5575407_k141_107178_7	144.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0
SRR5575407_k141_107178_8	189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107178_9	223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
SRR5575407_k141_107181_2	6.0	10.0	5.0	14.0	0.0	16.0	14.0	3.0	0.0	9.0	24.0	5.0	15.0	8.0
SRR5575407_k141_107188_10	949.0	0.0	77.0	345.0	0.0	0.0	29.0	107.0	28.0	345.0	8.0	0.0	82.0	23.0
SRR5575407_k141_107188_3	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107188_4	258.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107188_5	71.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SRR5575407_k141_107188_6	545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107188_7	369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107188_8	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
SRR5575407_k141_107188_9	440.0	0.0	4.0	0.0	0.0	36.0	55.0	18.0	0.0	0.0	0.0	0.0	5.0	0.0
SRR5575407_k141_107189_2	1329.0	0.0	686.0	1184.0	8.0	274.0	0.0	591.0	13.0	474.0	265.0	0.0	805.0	163.0
SRR5575407_k141_107189_3	4689.0	0.0	2816.0	4370.0	51.0	772.0	0.0	1848.0	40.0	1633.0	1000.0	0.0	3290.0	698.0
SRR5575407_k141_107189_4	1623.0	0.0	1043.0	1668.0	23.0	271.0	0.0	657.0	13.0	535.0	345.0	0.0	1201.0	205.0
SRR5575407_k141_107189_5	4531.0	0.0	3103.0	4613.0	50.0	842.0	2.0	1836.0	42.0	1475.0	910.0	2.0	3109.0	611.0
SRR5575407_k141_10718_1	10.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
